"Apr 1, 2019 @ 10:36", 1017.50,
"Apr 1, 2019 @ 22:18", 1012.50,
"Apr 2, 2019 @ 09:08", 1012.50,
"Apr 2, 2019 @ 10:17", 1012.13,
"Apr 2, 2019 @ 13:14", 1012.57,
"Apr 2, 2019 @ 14:45", 1011.97,
"Apr 2, 2019 @ 20:37", 1011.04,
"Apr 3, 2019 @ 08:01", 1015.57,
"Apr 4, 2019 @ 08:19", 1009.84,
"Apr 4, 2019 @ 16:26", 1009.84,
"Apr 4, 2019 @ 23:08", 1006.92,
"Apr 5, 2019 @ 18:37", 1007.01,
"Apr 6, 2019 @ 01:23", 1007.01,
"Apr 6, 2019 @ 20:02", 1004.02,
"Apr 7, 2019 @ 13:54", 1007.06,
"Apr 8, 2019 @ 07:11", 1002.17,
"Apr 8, 2019 @ 15:21", 1000.18,
"Apr 8, 2019 @ 20:32", 1000.18,
"Apr 9, 2019 @ 08:01", 999.37,
"Apr 9, 2019 @ 10:46", 1001.53,
"Apr 10, 2019 @ 07:47", 1000.10,
"Apr 10, 2019 @ 09:23", 1000.10,
"Apr 10, 2019 @ 11:55", 999.43,
"Apr 10, 2019 @ 12:45", 999.43,
"Apr 10, 2019 @ 12:51", 998.17,
"Apr 10, 2019 @ 14:11", 998.08,
"Apr 11, 2019 @ 10:37", 995.69,
"Apr 11, 2019 @ 16:27", 995.69,
"Apr 11, 2019 @ 18:09", 993.28,
"Apr 11, 2019 @ 23:09", 993.44,
"Apr 12, 2019 @ 10:00", 1005.32,
"Apr 12, 2019 @ 11:18", 1005.32,
"Apr 12, 2019 @ 13:35", 1005.79,
"Apr 12, 2019 @ 14:03", 1006.09,
"Apr 12, 2019 @ 17:03", 1006.43,
"Apr 12, 2019 @ 17:47", 1004.79,
"Apr 13, 2019 @ 11:48", 1004.23,
"Apr 13, 2019 @ 12:22", 1004.23,
"Apr 13, 2019 @ 17:14", 1004.14,
"Apr 13, 2019 @ 17:37", 997.17,
"Apr 13, 2019 @ 19:26", 996.37,
"Apr 13, 2019 @ 20:36", 994.99,
"Apr 13, 2019 @ 23:34", 994.35,
"Apr 14, 2019 @ 07:40", 989.13,
"Apr 14, 2019 @ 09:15", 990.13,
"Apr 14, 2019 @ 09:20", 990.12,
"Apr 14, 2019 @ 09:25", 990.41,
"Apr 14, 2019 @ 09:35", 990.56,
"Apr 14, 2019 @ 09:40", 990.70,
"Apr 14, 2019 @ 09:50", 991.04,
"Apr 14, 2019 @ 09:55", 991.31,
"Apr 14, 2019 @ 10:05", 991.66,
"Apr 14, 2019 @ 10:10", 991.80,
"Apr 14, 2019 @ 10:20", 992.14,
"Apr 14, 2019 @ 10:25", 992.32,
"Apr 14, 2019 @ 10:30", 992.53,
"Apr 14, 2019 @ 10:40", 992.71,
"Apr 14, 2019 @ 10:45", 992.85,
"Apr 14, 2019 @ 10:50", 993.08,
"Apr 14, 2019 @ 11:00", 993.29,
"Apr 14, 2019 @ 11:05", 993.39,
"Apr 14, 2019 @ 11:12", 993.57,
"Apr 14, 2019 @ 11:23", 993.57,
"Apr 14, 2019 @ 12:18", 994.84,
"Apr 14, 2019 @ 16:57", 994.84,
"Apr 14, 2019 @ 19:21", 999.65,
"Apr 15, 2019 @ 06:53", 1007.76,
"Apr 16, 2019 @ 13:28", 1009.34,
"Apr 16, 2019 @ 20:37", 1009.34,
"Apr 17, 2019 @ 05:26", 1006.36,
"Apr 17, 2019 @ 09:27", 1005.91,
"Apr 17, 2019 @ 17:48", 1005.85,
"Apr 17, 2019 @ 17:53", 1000.84,
"Apr 17, 2019 @ 18:02", 1000.98,
"Apr 17, 2019 @ 18:07", 1000.83,
"Apr 17, 2019 @ 18:13", 1000.89,
"Apr 17, 2019 @ 18:22", 1000.70,
"Apr 17, 2019 @ 18:28", 1000.67,
"Apr 17, 2019 @ 18:37", 1000.77,
"Apr 17, 2019 @ 18:43", 1000.80,
"Apr 17, 2019 @ 18:52", 1000.74,
"Apr 17, 2019 @ 18:58", 1000.82,
"Apr 17, 2019 @ 19:07", 1000.77,
"Apr 17, 2019 @ 20:01", 1000.79,
